LINEUPS,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-
,,,,,,,,,,,,,,,,,,,,,,,,,
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,10,3,7,0.6,0.7,1.2,58.3,0,0.2,0,0.2,0.2,100,0.2,0.2,0.4,0.1,0.2,0.2,0.1,0.1,0.3,0.2,1.6,-0.5
J. Murray - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,9,7,2,6.6,5.9,11.4,51.5,1.4,3.8,38.2,2.1,3.1,67.9,1.4,4.8,6.2,3,1.9,0.3,0.8,0.3,2.7,2.8,15.3,0.4
J. Green - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,5,2,6.8,5.7,12.1,47.1,1.7,4.6,37.5,3.1,4.1,75.9,1.3,4.6,5.9,3.4,1.4,0.6,0.6,0.4,2.6,4,16.3,1.6
J. Green - D. Jordan - B. Brown - B. Hyland - C. Braun,7,6,1,3.6,3.6,7.9,45.5,0.7,3.1,22.7,1.4,2.1,66.7,1,2.4,3.4,1.7,0.9,0.6,0.7,0.7,1.4,1.9,9.3,1.7
J. Green - A. Gordon - J. Murray - B. Brown - M. Porter Jr.,7,5,2,2.7,2.6,5.1,50,0.6,1.6,36.4,1.3,1.3,100,0.7,1.9,2.6,1.7,0.3,0.4,0.1,0.4,1.3,0.9,7,0.6
I. Smith - V. Cancar - D. Reed - Z. Nnaji - C. Braun,7,6,1,2.6,1.9,4.1,44.8,0.1,0.9,16.7,1.1,2.1,53.3,0.4,2,2.4,1.6,0.6,0.9,0.1,0.3,1,1.1,5,1
A. Gordon - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,4,3,0.5,0.3,1.1,25,0,0.4,0,0,0,0,0.1,0.7,0.9,0,0,0,0,0,0.1,0,0.6,-0.1
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - C. Braun,6,5,1,4.1,3.3,6.8,48.8,1,2.3,42.9,2.7,2.8,94.1,0.3,2.8,3.2,2,1,0.8,0,0.7,1.5,2.7,10.3,2.7
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,6,2,4,3.9,3,8,37.5,0.8,3.7,22.7,1.5,1.7,90,1.7,2.8,4.5,1.7,1.2,0.8,0.3,0,1.7,1.3,8.3,1
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - Z. Nnaji,6,5,1,3.6,2.5,5.8,42.9,0.5,2.2,23.1,1.3,1.7,80,0.7,2.5,3.2,1.7,1.7,0.3,0.3,0.3,1.3,2,6.8,-2
J. Green - D. Jordan - K. Caldwell-Pope - B. Brown - B. Hyland,6,5,1,2.5,2,4.7,42.9,0.2,1.2,14.3,0.8,1,83.3,0.5,1.8,2.3,1.2,0.7,0.5,0.2,0.5,0.8,1,5,-1.2
J. Green - K. Caldwell-Pope - A. Gordon - B. Brown - C. Braun,6,3,3,2.2,2,4.2,48,0.2,1,16.7,1.7,2.3,71.4,0.8,1.3,2.2,0.7,0.7,0.5,0,0.3,1,1.8,5.8,0.8
J. Green - D. Jordan - J. Murray - B. Hyland - C. Braun,5,4,1,5.9,5.4,11.6,46.6,1.8,4.4,40.9,2,2.8,71.4,2.2,3.4,5.6,4.2,0.6,1,0.4,0.8,1.4,2.2,14.6,1
D. Jordan - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,5,3,2,5.8,6,11.2,53.6,1.6,3.2,50,1.6,1.6,100,1.6,2.8,4.4,3.2,1.4,1,0,0,2,1.6,15.2,1
K. Caldwell-Pope - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,5,4,1,4.7,2.8,7.8,35.9,0.4,3.6,11.1,1.2,1.2,100,1.2,2.2,3.4,1.8,1.6,0.4,0.2,0.6,1.8,1.6,7.2,-6
V. Cancar - B. Brown - Z. Nnaji - B. Hyland - C. Braun,5,4,1,3.6,3,6.2,48.4,0.4,1.8,22.2,1.4,1.8,77.8,0.6,2.6,3.2,2,0.4,0.2,0.6,0.2,0.6,1.8,7.8,1.6
J. Green - R. Jackson - J. Murray - T. Bryant - B. Brown,5,3,2,3,2.2,5.4,40.7,0.2,1.6,12.5,2.4,3,80,1,2.6,3.6,1.2,0.2,0.6,0.6,0,0.8,2.2,7,3
I. Smith - V. Cancar - Z. Nnaji - C. Braun - P. Watson,5,1,4,2.8,2,5.4,37,0.2,1.2,16.7,1.8,2.4,75,0.8,2.6,3.4,1.6,0.4,0.8,0.2,0.6,1,1.8,6,1.4
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - B. Hyland,5,3,2,1.9,1.8,3,60,0.4,1,40,0.2,0.6,33.3,0.4,1.8,2.2,0.8,0.4,0,0.4,0,1,0.6,4.2,1.2
J. Green - A. Gordon - B. Brown - M. Porter Jr. - C. Braun,5,2,3,1.1,1,2.4,41.7,0.2,1.2,16.7,0.6,0.8,75,0.6,0.6,1.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,2.8,-0.6
J. Green - D. Jordan - K. Caldwell-Pope - B. Hyland - C. Braun,5,5,0,0.9,1,1.8,55.6,0.2,0.8,25,0,0,0,0.4,1.2,1.6,0.6,0.2,0.2,0,0,0,0,2.2,1.8
J. Green - D. Jordan - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,6.8,6,13.8,43.6,1.8,4.8,36.8,2,3,66.7,2.5,5.3,7.8,3,2,1,0.8,1,2.8,2.8,15.8,2
K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - Z. Nnaji,4,2,2,6.7,5.3,12.5,42,1,2.8,36.4,1.5,1.8,85.7,1.5,4.5,6,3,0.8,0.5,1,0.8,4,2.3,13,0.3
J. Green - D. Jordan - M. Porter Jr. - B. Hyland - C. Braun,4,4,0,5.7,5,11.8,42.6,1.3,5.5,22.7,2.8,4,68.8,1.5,3.3,4.8,3,1,0.8,0.5,0.5,2.3,3,14,-3.8
J. Green - J. Murray - B. Brown - Z. Nnaji - B. Hyland,4,1,3,4.8,4,10.5,38.1,1,3.8,26.7,1.3,2,62.5,2.5,3,5.5,2.5,1,1,0.3,0.8,1,1.8,10.3,0.5
D. Jordan - J. Murray - V. Cancar - B. Brown - B. Hyland,4,4,0,4.4,4.3,6.8,63,1,1.8,57.1,3,4,75,1,2.5,3.5,2.5,1.5,0.8,0.3,0.5,0.5,3.3,12.5,3.3
J. Green - D. Jordan - J. Murray - B. Brown - B. Hyland,4,2,2,2.9,2.8,4.8,57.9,0.8,1.5,50,1.5,1.5,100,0.5,2.8,3.3,1,0.8,0.5,0.3,0,0.5,0.8,7.8,2.5
J. Green - A. Gordon - J. Murray - B. Brown - C. Braun,4,2,2,2.4,1.3,3.8,33.3,0.5,1,50,1,1.3,80,0.3,1.3,1.5,0.8,0.5,0.3,0.3,0.3,1.5,1.3,4,0.3
D. Jordan - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,4,3,1,1.2,0.8,1.8,42.9,0.3,0.5,50,0.5,0.5,100,0.5,0.5,1,0.8,1,0.5,0,0.5,0.5,0.5,2.3,-0.5
J. Green - J. Murray - B. Brown - M. Porter Jr. - Z. Nnaji,4,4,0,1.2,1,2,50,0,0.5,0,1,1.8,57.1,0.3,1,1.3,0.8,0.5,0.3,0,0.3,0.5,1,3,1
D. Jordan - K. Caldwell-Pope - B. Brown - Z. Nnaji - B. Hyland,4,2,2,1.1,0.8,3.3,23.1,0,1.3,0,0.5,0.5,100,1.3,0.8,2,0.3,0,0,0,0,0.5,0.8,2,0.5
K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - M. Porter Jr.,4,4,0,0.8,0.5,1.3,40,0.3,0.5,50,0.5,0.5,100,0.3,0.5,0.8,0.5,0.3,0,0.3,0.3,0.3,0.3,1.8,0
J. Green - D. Jordan - J. Murray - B. Brown - M. Porter Jr.,4,1,3,0.7,0.8,1,75,0.5,0.5,100,0,0,0,0,0.8,0.8,0.3,0.3,0,0,0,0,0,2,1
J. Green - R. Jackson - T. Bryant - B. Brown - C. Braun,3,1,2,9.7,8.3,19,43.9,2.7,9.3,28.6,1.3,2,66.7,3.3,9,12.3,4.3,2.3,1.7,0.3,0.7,2.7,3.7,20.7,5
J. Green - J. Murray - T. Bryant - B. Brown - C. Braun,3,1,2,8.2,6,12.7,47.4,1.3,4.7,28.6,4.3,6,72.2,1.3,6.3,7.7,2.7,3,1.7,1,0.3,1,3,17.7,3
J. Green - D. Jordan - K. Caldwell-Pope - B. Brown - M. Porter Jr.,3,1,2,7.2,6.3,12.3,51.4,2,5,40,2,3.3,60,0.7,3.3,4,4,1.7,1.3,0,0.7,2,2,16.7,-0.7
J. Green - R. Jackson - K. Caldwell-Pope - T. Bryant - B. Brown,3,2,1,6,5.7,12,47.2,1.3,3.7,36.4,1,1,100,1,5.3,6.3,2.7,1,1,0.3,0,2,2,13.7,2.3
A. Gordon - V. Cancar - B. Brown - Z. Nnaji - C. Braun,3,1,2,5.7,4.7,10.3,45.2,1.7,3.7,45.5,0.7,1,66.7,1.3,5.7,7,2,3.3,2,1,1.7,2.3,0.7,11.7,2.3
J. Green - D. Jordan - J. Murray - B. Brown - C. Braun,3,2,1,4.5,4,9,44.4,0,2,0,1,1,100,1.7,2.3,4,2.3,2.3,1,0.3,0.7,1.3,1,9,1.7
I. Smith - D. Reed - Z. Nnaji - C. Braun - J. White,3,3,0,2.9,2.3,5.3,43.8,0.3,2.3,14.3,1.7,1.7,100,1,1,2,1,1,0.7,1,0.3,0.7,1.3,6.7,1.7
J. Green - J. Murray - Z. Nnaji - B. Hyland - C. Braun,3,1,2,2.9,3,5.3,56.3,0,1,0,0,0.7,0,1,1.7,2.7,2,1,0.7,0.7,0.3,1.3,1.7,6,-0.3
I. Smith - T. Bryant - V. Cancar - C. Braun - P. Watson,3,2,1,2.5,2.3,4,58.3,0.3,1.3,25,2,2.7,75,1,1.3,2.3,1,0.3,0.7,0,0,0,1.3,7,1.7
V. Cancar - D. Reed - B. Brown - Z. Nnaji - C. Braun,3,2,1,2.5,2.3,3.3,70,0.7,1,66.7,1.3,2,66.7,0,2,2,1.7,1,0.3,0.7,0,0.7,1,6.7,2.3
I. Smith - V. Cancar - D. Reed - Z. Nnaji - P. Watson,3,2,1,2.4,2.7,5.7,47.1,0.3,1.7,20,0.3,0.3,100,1.3,1.3,2.7,1,1.3,0.7,0,0.3,0.7,0.3,6,1
J. Green - D. Jordan - B. Brown - M. Porter Jr. - C. Braun,3,1,2,2.2,2.3,5,46.7,0,0.7,0,0.7,0.7,100,2,1,3,1.3,0.3,0.3,0.3,0.3,1.3,0.3,5.3,-0.3
I. Smith - T. Bryant - C. Braun - P. Watson - J. White,3,2,1,2.1,1.3,3.3,40,0.3,1.7,20,0,0,0,0.7,1,1.7,1,0.7,0.7,0,0,0.3,0.3,3,-2.3
J. Green - R. Jackson - K. Caldwell-Pope - B. Brown - C. Braun,3,2,1,1.4,1.7,3.7,45.5,1,2,50,1,1,100,0.3,1,1.3,1.3,0.3,0.3,0,0.7,1,0.7,5.3,2.7
D. Jordan - I. Smith - A. Gordon - J. Murray - D. Reed,3,2,1,1.3,0.7,3,22.2,0,1,0,0,0.3,0,0.7,0,0.7,0.7,0.3,0.7,0,0.3,0.3,0.7,1.3,-2.7
J. Green - D. Jordan - K. Caldwell-Pope - J. Murray - B. Brown,3,1,2,1.2,1.3,2.7,50,0,0,0,0.3,0.3,100,0.7,1.3,2,0.7,0.3,0.3,0,0.7,0.7,0.3,3,1.3
J. Green - D. Reed - B. Brown - B. Hyland - C. Braun,3,2,1,1.2,0.7,1,66.7,0.3,0.7,50,1.3,1.3,100,0,0.3,0.3,0,0.3,0.3,0.3,0,1,0.7,3,0
